,pcode,btn,duration_seconds,n_Btn
0,#6o1h4m,60,6.47,1
1,#6o1h4m,70,5.95,1
2,#6o1h4m,82,3.68,1
3,#6o1h4m,70,2.32,2
4,#6o1h4m,60,1.66,2
5,#6o1h4m,96,4.2,1
6,#6o1h4m,82,3.82,2
7,#6o1h4m,96,2.32,2
8,#6o1h4m,112,7.22,1
9,#6o1h4m,132,2.67,1
10,#6o1h4m,70,1.66,3
11,#6o1h4m,132,2.67,2
12,#6o1h4m,154,3.5,1
13,#6o1h4m,180,3.67,1
14,#6o1h4m,154,1.77,2
15,#6o1h4m,82,3.67,3
16,#6o1h4m,96,2.93,3
17,#6o1h4m,70,3.67,4
18,#6o1h4m,60,1.77,3
19,#6o1h4m,82,1.67,4
20,#6o1h4m,70,2.22,5
21,#6o1h4m,82,1.75,5
22,#6o1h4m,96,1.78,4
23,#6o1h4m,112,2.15,2
24,#6o1h4m,132,8.82,3
25,#6o1h4m,112,1.66,3
26,#6o1h4m,154,3.43,3
27,#6o1h4m,180,2.15,2
