,practice,i,code,condition,scrolling_direction,sdt_resp_cat,RT
0,True,1,SKYW,ZOAF,Bwd,CR,1.463163137435913
1,True,2,SKYW,ZIAS,Bwd,CR,1.5683653354644775
2,True,3,SKYW,ZOAS,Fwd,FA,1.169382095336914
3,True,4,SKYW,ZIPF,Bwd,Miss,1.5617306232452393
4,True,5,SKYW,ZIAF,Bwd,CR,1.5641236305236816
5,True,6,SKYW,ZOPS,Fwd,Hit,1.5667955875396729
6,True,7,SKYW,ZIAS,Bwd,CR,1.5793018341064453
7,True,8,SKYW,ZOAF,Bwd,CR,1.5778114795684814
8,True,9,SKYW,ZIPS,Fwd,Hit,1.684793472290039
9,True,10,SKYW,ZIPF,Bwd,Miss,1.181161880493164
